1,0.0,715.0,1280.0,5.0
1,0.0,0.0,1280.0,5.0
1,0.0,0.0,5.0,667.0
1,1275.0,55.0,5.0,665.0
1,1275.0,0.0,5.0,30.0
1,0.0,690.0,5.0,30.0
1,38.0,691.0,81.0,5.0
1,152.0,581.0,119.0,5.0
1,39.0,527.0,154.0,5.0
1,5.0,552.0,152.0,5.0
1,5.0,417.0,77.0,5.0
1,40.0,385.0,75.0,5.0
1,5.0,358.0,110.0,5.0
1,40.0,303.0,154.0,5.0
1,5.0,109.0,110.0,5.0
1,5.0,28.0,114.0,5.0
1,39.0,83.0,118.0,5.0
1,39.0,57.0,80.0,5.0
1,190.0,110.0,76.0,5.0
1,225.0,191.0,80.0,5.0
1,152.0,137.0,42.0,5.0
1,5.0,137.0,39.0,5.0
1,77.0,137.0,38.0,5.0
1,80.0,166.0,77.0,5.0
1,40.0,191.0,75.0,5.0
1,5.0,275.0,76.0,5.0
1,189.0,250.0,116.0,5.0
1,189.0,276.0,148.0,5.0
1,231.0,221.0,111.0,5.0
1,337.0,303.0,83.0,5.0
1,337.0,331.0,83.0,5.0
1,151.0,417.0,191.0,5.0
1,270.0,526.0,184.0,5.0
1,189.0,605.0,186.0,5.0
1,417.0,605.0,112.0,5.0
1,643.0,630.0,188.0,5.0
1,640.0,360.0,372.0,5.0
1,520.0,250.0,338.0,5.0
1,337.0,136.0,342.0,5.0
1,337.0,166.0,83.0,5.0
1,420.0,249.0,71.0,5.0
1,420.0,190.0,36.0,5.0
1,451.0,220.0,154.0,5.0
1,336.0,190.0,45.0,5.0
1,337.0,58.0,44.0,5.0
1,337.0,109.0,44.0,5.0
1,416.0,104.0,36.0,5.0
1,488.0,110.0,78.0,5.0
1,637.0,110.0,79.0,5.0
1,711.0,137.0,79.0,5.0
1,678.0,163.0,79.0,5.0
1,674.0,84.0,113.0,5.0
1,786.0,28.0,119.0,5.0
1,859.0,55.0,119.0,5.0
1,826.0,84.0,81.0,5.0
1,827.0,110.0,111.0,5.0
1,790.0,189.0,110.0,5.0
1,810.0,220.0,128.0,5.0
1,826.0,276.0,152.0,5.0
1,863.0,333.0,115.0,5.0
